ulasan,rating
awalnya bagus aplikasi ini..tiba-tiba aplikasi ini menutup dgn alasan perangkat anda tidak didukung & terdeteksi root.. kocak atau gmn ya.. hp saya msh ori & tdk prnh saya buat aneh2..ngmong ja krn selalu saya komplain/pelaporan soal listrik padam & situ gak mau melayani soal komplainan saya !!!,1
"sama aja ada biaya layanan, di berita aja harga token gak ada admin. tolol mending beli di shopee banyak diskon",1
"Per 2 juli 2025 Aplikasi gak bisa dibuka. Tiba"" ada peringatan device yg dipakai, memakai mode pengembang/root. Padahal gak. Tolong diperbaiki",1
KABUPATEN KEPULAUAN SANGIHE MENGALAMI KRISIS LISTRIK. DARI TAHUN 2018-2025 TIDAK ADA PERUBAHAN,1
"per hari ini apk pln mobile tidak bisa dibuka, keterangan hp karena emulator, dalam pengembang dll. apk tolol. hp ngga pernah diutak atik masa ada keterangan begtu. bosok!!!",1
mf kenapa pln Mobel tidak bisa byr .. waktu di batasi .... banyak perubahan di pln Mobel ... kami konsumen merasa tidak nyaman.. pln Mobel mulae ribet ...,1
PLN sering banget mati lampu.,1
setelah di update semakin gak karuan..upgrade akun malah gagal² terus...kalau memang aplikasi ini untuk kebutuhan masyarakat mengapa kok gak di permudah saja...dulu lancar² saja..kalau begini terus malah viral ini calonnya...,1
"baru jg download tpi udh ga bisa di bukak , kecewa bangettttt sama aplikasi ini hadehhhhh",1
aplikasi tidak bisa dibuka padahal hp normal tanpa root,1
kenapa aplikasinya gak bisa di buka,1
"apk nya ngebug ya, masa iya perangkat tidak didukung , perangkat terindakasi root",1
"perangkat tidak didukung? aneh,, padahal hape ga ada dioprek-oprek",1
Update kali ini saya tidak bisa membukanya.padahal HP saya normal tidak ada root.,1
tidak bisa di gunakana. minta root dan opsi pengembang padahal sudah di opsi pengembang.,1
"payah ga bisa ke buka aplikasi y,tolong solusinya gimana",1
"baru kali ini saya buka aplikasi PLN mobile,,,ada pemberitahuan (perangngkat anda terdekeksi dlm kondisi tidak di dukung root...dan lain2)mohon penjelasanya,,sampai saat ini aplikasi tidak bisa di gunakan...???",1
"nih apk makin diupdate makin berat bngt,gatau lgi lh nih apk kudu diapain",1
"awalnya bagus aplikasi ini, tapi saat ini aplikasi sepertinya sedang error. tidak bisa digunakan.",1
"ini kenapa setela update kok malah keluar2sendiri, padahal proses uda hampir selesai. tapi tiba2 kluar sendiri. ayo prbaikin dong",1
aplikasi yg pembohongan rakyat ini nih,1
Terimakasih layanan PLN Mobile cepat tanggap dlm menangani keluhan pelanggan. PLN mantap 👍 ------------ ulasan kedua; dari 5 turun ke 1 gara2 layanan lamban aplikasi tiba2 tdk bisa dibuka.,1
"sudah fungsiin dari lama banget ini aplikkasi lebih simpel dan enak buat bayar,, update kmrin tiba"" gk bisa di pakai alasan hp rooted,pdhl otak atik hp juga enggak,, mlh semakin menurun aplikasiny,sekelas BUMN",1
"tidak bisa terbuka, saya pengajuan pasang listrik di mobile udah 1 bulan belum di pasang",1
"semenjak update aplikasi tidak bisa dibuka indikasi root padahal hp tidak pernah root, aplikasi bank normal dibuka cuman aplikasi PLN aja tidak bisa dibuka indikasi root jadi hapus aja dehh ga transaksi lagi di aplikasi PLN",1
knapa tidak bisa di buka,1
"update kali ini malah makin eror, katanya terdetect aplikasi modif.",1
apk tidak guna.,1
server error,1
Dulu Sangat membantu dan mempermudah pelanggan PLN..Sekarang mana lelet minta ampun sering gangguan atau server gak memadai,1
ini kenapa aplikasi tidak lagi bisa dibuka? mohon penjelasamdnya,1
"kembalikan ke mode awal, ini sudah tidak bisa dibuka",1
"kenapa sekarang pln jelek banget,, laporan jadi susah karena ada pemberitahuan terdeteksi root . mohon jangan dipersulit ,",1
"Pln mobile yg sy banggakan dr dulu sejak juni 2025 tdk bsa login ke pengaduan,bahkan sy coba hapus dan download kembali tdk bisa Daftar kembali hanya loding trus ja,mohon koreksi aplikasix,apa ada perbaikan atau gmn,trims",1
parah informasinya gak sesuai katanya di aplikasi beli 100ribu dapat 144 kWh tapi giliran beli 500ribu dapat 361kwh pas di isi ke meteran pas di cek lagi di aplikasinya harusnya dapat 684kwh parah gak sesuai info,1
pengaduan tidak ada tindakan (tidak ada petugas datang) tapi di riwayat keterangan sudah selesai,1
"Frequent logouts every few days, inconvenient for elderly who only view their bills",1
RESPON LAMBAT,1
poto selfie dgn ktp paling susah!!! hapus kolom agar mudah poto selfie dgn ktp user,1
"pln skrg telat bayar hitungan hari aja main putus, sdgkn yg telat berbulan bulan gada diputus. ga jls bgt",1
"transaksi pembayaran di pln mobile sering gangguan,tolong di perbaiki,sering gangguan v2610",1
"Ngadain event Gelegar Pln Mobile ampe 31 Desember 2025 tapi Baru aja bulan Juni Hadiah Langsung nya sudah Habis semua, Sungguh di luar Nurul & nga habis Fikri deh, Ada2 aja. #Sudah pakai aplikasi versi terbaru, sudah chat live agent juga malah di ceukin sama mereka",1
bertahan karena ga punya saingan.,1
"Error katanya menggunakan HP tidak standard, atau rooted. Aplikasi aneh.",1
Aplikasi kami tiba-tiba tdk terbuka..,1
knp jadi SE error ini gak bs dipergunakan,1
katanya aplikasi makin mudah.malah daftar pasang baru makin sulit ❌,1
verifikasi di setiap rayon berbeda2 ada salah satu rayon yg sangat lambat sya buat laporan di aplikasi TPI tetep aja sebetulnya butuh plangan ap ngak y...🤔🤔,1
kenapa sekarang setelah diupdate jadi tidak bisa dibuka..perangkat tidak terdeteksii.. padahal hp saya tidak diroot...,1
"aplikasi tidak bisa dibuka... perangkat tidak didukung ( root, emulator, atau mode pengembang ) Gunakan perangkat asli dannon-modifikasi untuk melanjutkan APA MAKSUDNYAAAA",1
"gak bisa dibuka, katanya perangkat saya gak dukung",1
"PLN, L nya LAMA kalo gangguan pemadaman listrik.",1
aplikasi apa ini buka via situs web dialihkan ke aplikasi giliran ke aplikasi ga bisa dibuka niat melayani masyarakat kaga nih?,1
Tidak bisa dibuka,1
"live chat pln lambat,,, Terus proses verifikasi pln uni dan aplikasi lambat sekali",1
Lebih dr 1 hr kalau mengajukan klaim tarik saldo ke rekening pribadi tdk semudah aplikasi charge mobil listrik yg lain dan klo chat cs nya dimintakan isi banyak data ribet proses nya..,1
aplikasi ini tidak ada rating buat tindak lanjut setelah penyelesaian masalah kepada petugas PLN nya,1
"kok punya saya tidak bisa dibuka ya tiba2, tulisan nya perangkat tidak didukung, padahal sebelum nya lancar2 aja, dan pengaturan hp saya tidak ada perubahan",1
gak bisa di pakai aplikasinya.,1
"tiba tiba bet gak bisa dibuka aplikasinya ""perangkat tidak mendukung"" (root, emulator atau mode pengembang) aneh bet nih aplikasi, hp gua perasaan gk di apa apa in dah",1
"agak lain pln ini,bisa bayar pdam tapi buat daerah kota pematang siantar belum terdaftar padahal kalau di apk dana bisa loh",1
"per tanggal 27 Juni 2025 aplikasi ini di hp saya tidak berfungsi dengan baik, ada apa ya?",1
aplikasinya bikin bingung mau login aja susahnya ampun,1
"saya user android versi 12.0 semula perangkat mendukung tiba tiba perangkat menjadi tidak mendukung jadi tidak bisa akses, sangat kecewa, padahal hp saya ga pernah di otak atik, ga pernah di root atau apalah, malah difitnah PLN, maksudnya PLN apa coba?",1
"download aplikasi isi buat ngorder pemasangan listrik baru, sudah sebulan lebih bayarnya sudah lunas, sampai skrg belum ada yg survey, tetangga ngorder langsung ke kantor PLN, 5hari sudah langsung di pasang",1
"awal mula terbntu namun sekarang g bisa d buka ,,",1
ga bisa dibuka aplikasi nya padahal hp saya gk di root,1
"keluhan saya tidak ada tanggapan, sudah 4 hari statusnya mencari petugas.",1
"bikin emosi daftarnya, pas upload dokumen pendukung selalu kembali nutup aplikasinya, jadi ulang dari awal. begituuu Mulu udah 10 kali lebih nyoba. sangat sangat menguras waktu",1
pengembalian dana ke rek lambat,1
"kok gk bisa dibuka ya aplikasinya, perangkat terdeteksi dalam kondisi tidak didukung , ada solusinya gak?",1
setelah update terbaru aplikasi nya gak bisa di buka kembali,1
"sudah berhari-hari gak bisa log in, sudah di instal ulang pun tetap sama saja",1
BUKANYA SEMAKIN MUDAH MALAH BIKIN SUSAH SEMUA PELANGGAN GAK SAMA BISA MENGGUNAKAN APLIKASI TOLONG DI TINJAU KEMBALI PLN NGASIH PERATURAN MAUPUN KEBIJAKAN INDONESIA ADA 200JT LEBIH TP APA BISA SEMUA MENGGUNAKAN APLIKASI INI,1
aplikasi payah... ga' bisa dibuka,1
PLN bad,1
aplikasi tiba2 tidak bisa digunakan.terdeteksi root di hp. hp nggak pernah di utak atik kok sampai tidak bisa aplikasinya. saya pakai plnmobile sudah lebih 6 th baru sekarang bermasalah.,1
Pelayanan nya cepat. skrg makin kesini mulai tidak jelas.pelaporan SDH 5bulan tidak ada penyelesaian terkait pengembalian dana,1
MASA MODE PENGEMBANG AJA GABISA? ANEHHHHHHHHHHHHHH,1
sekarang kok rewel ya,1
"Kenapa sekarang susah untuk login, padahal memiliki akun dengan verifikasi via email, namun setiap login selalu muncul kalimat ' email anda telah terdaftar ', namun tidak bisa login,",1
saya kasih bintang 1...krna pelayanannya buruk,1
ni aplikasi kenapa ya ko ada tulisan perangkat anda tidak didukung... saya pake hp asus rog....sudah disuruh clear cache tetep saja gabisa dibuka untuk aplikasinya...apakah tidak support untuk asus rog?,1
Apk tidak bisa dibuka!!,1
ADA NO WA PENGADUAN GAK YA MASALAH APLIKASI INI .. APLIKASI PUNYA SAYA GAK BISA DIBUKA ...,1
"daftar susah, suruh masukin pin eror terus",1
setelah update tidak bisa di Gunakan. jelek sekali update nyaa,1
tiba2 ga bisa dibuka,1
gimana sich ini.. kok tiba-tiba tidak bisa dibuka di Hape saya.,1
"tolong upgrade apknya, biasa gak ada masalah, sekarang hp terdeteksi root katanya, aplikasi lain ga ada masalah masalahnya....terimakasih",1
"Setiap abis bikin transaksi selalu muncul pop up buat rating bintang 5, Ganggu banget asli. Untuk developer tolong ya, setiap abis transaksi ada notif dpet poin gelegar, tapi pas di cek di aplikasi tidak ada satupun poin yang saya dapatkan.",1
hari ini aplikasi nya tidak bisa dibuka tertulis perangkat anda terdeksi kondisi tidak didukung .itu kenapa?,1
"Pengaduan Untuk KWH ada Tanda Periksa Tidak Bisa diakses, Ketika Pada Menu Wilayah Tidak Bisa diKlik.. Lapor Kepetugas Malah Disuruh Ganti dari Token Ke Pasca Bayar .. Aneh",1
"sebelumnya saya suka apk ini, responnya cepat, tapi kok tiba2 gak bisa dibuka terpaksa sy turunin bintangnya dan uninstall",1
"Saya sdh lama pakai aplikasi ini. Tiap bulan install dan uninstall selesai catat meter, lancar aja. Mengapa 24-27 Juni 2025, setelah install , tidak bisa dibuka? Muncul tulisan *perangkat tidak didukung* , bls bla bla... Tutup aplikasi. Sungguh kecewa . Bgmn catat meter nya?. Merepotkan kalau harus ke kantor PLN hanya buat laporan pencatatan meter. Jum'at, 27 Juni pas tgl merah. kantor tutup",1
PLN mobile gak bisa diinstaly,1
"kurang simpel, kenapa pembayaran tidak langsung dari payment Pln mobile",1
parah pln mobile masa beli token pembayaran lwat sopepay gagal terus saldonyanya ilang ngga ada keterangan,1
"NYUSAHIN , MAU PASANG LISTRIK KATANYA SURUH LEWAT APLIKASI ,SUDAH LEWAT APLIKASI SUDAH BAYAR LUNAS, TIBA² DITOLAK GARA² KWH PRABAYARNYA TIDAK READY , HARUSNYA KALO TIDAK READY JANGAN DITAMPILKAN DI PILIHANNYA, SEKARANG LAGI NUNGGU PROSES RESTITUSI YANG LELET , BIKIN APLIKASI BUKANNYA MEMUDAHKAN MALAH BIKIN RIBET 😂",1
Fiture memberi rating di hilangkan sehingga tidak bisa memberikan rating kepada team yg slow respon,1
kenapa tidak bisa di pakai lagi. dibuka ga bisa. perangkat tidak di dukung. aneh. biasanya bisa d pakai tau2 malah ky gini.,1
playanan nya masih buruk & tidak praktis sperti slogan2 yg trtera,1
aplikasi nya sudah install tapi tidak bisa di akses aplikasi nya eror? perangkat nya tidak bisa di deteksi,1
"respon lambat ribet juga, penanganan nya lambat",1
hp saya terdeteksi di root sehingga tdk bisa masuk ke aplikasi padahal hp tdk pernah di modif,1
mohon evaluasi pln bangil pasuruan daya ditempat kami naik turun terus diwilayah oro2 ombo kulon klinik alfiza tempat kami pelayanan kepasien terganggu terus mohon segera ditindak lanjuti,1
sekarang tombol 'kirim' tidak bisa kirim swafoto padahal di foto angka standmeter sudah amat sangat jelasss....🫤,1
gak ada guna perangkat ini saya sdh 1 bulan ajukan sudah bayar nyatanya dipersulit dengan alasan material kosong...sementara yg lewat biro hari ini lapor 2 hari kemudian langsung pasang instalasi baru..tentu dengan harga yg jauh berbeda dari aplikasi...tahu gitu mending saya lewat biro saja,1
Cukup Baik,1
"saya sdh lama pake ini, beli token disini, terua catat meter disini, skrg gak bisa lagi, jadi percuma apkikasi di hp tp gak bisa dipake.",1
"Tiap habis di perbarui selalu g bisa login,,, update per tgl 26 Juni 2025, aplikasi ga bisa di buka, keterangan nya perangkat anda terdeteksi root. maksud gimana? ribet amat ini aplikasi",1
tidak bisa di buka apk PLN mobile kenapa yaa..?? dri pertama download udh seminggu tetap ga bisa di buka,1
"aplikasinya sangat buruk, sekarang gak bisa dipakai katanya perangkat tidak didukung padahal sebelumnya baik2 saja...!!!!!",1
"hp saya Infinix, selama ini bisa pake app PLN. tapi hari ini gak bisa karena tertulis di apps hp menggunakan root/pengembang. padahal hp tdk pernah di utak Atik. Ada solusi?",1
"dan terjadi lagi, tindakkan tidak ada, tapi saya harus memberi ulasan, percuma aplikasi ini sangat buruk, 2x laporan namun tidak ada tindakkan, tapi di laporan selesai, datang aja kaga",1
tgl 26 Juni 2025 ga bisa di buka perangkat trdeteksi tidak mendukung root dll padahal bulan lalu bisa..kocak,1
kenapa kon muncul tdk kontritibel,1
"Kenapa setelah di update tidak bisa dibuka, ada tulisan perangkat tidak didukung padahal sebelum di update normal?!",1
min knapa ini perangkat tidak di dukung,1
"aplikasi paling buruk. krn kadang offline, dan sering kali sistemnya eror",1
"nth knp tiba2 gak bisa di buka aplikasi nya, dan muncul tulisan perangkat tidak di dukung. padahal gak pernah root, gak pernah utak atik HP, dan OS udah yg terbaru. nanya ke cs nya gak membantu sama sekali.",1
kok nggak bisa dibuka yah,1
"Kalau bisa kasih bintang 0 mah mending di kasih 0 deh, pelayanan nya slow respon banget. Dari sore sampe udh malem begini gak ada perubahan. Udah di samperin ke PLN terdekat malah disuruh pengaduan lewat aplikasi. Mending kalau aplikasi nya fast respon!!",1
sekarang kok catat meter 4 pelanggan kok ganti email ya..,1
maap saya beli pulsa Telkomsel simpati lama proses pengiriman nya gimana ini aplikasi PLN mobil,1
"PLN selalu mati hampir tiap minggu daerah CIBUNGBULANG, mati mending cuman beberapa menit, ini sampe berjam-jam, di telepon penanganan ga langsung cepet. e'e lah",1
respon lambat,1
Pelayanan buruk sekali...tambah ribet sering error,1
tidak bisa di buka di hp vivo Y30 keterangan ny perangkat tidak terdeteksi sebelum nya aman sebelum pembaharuan,1
Maaf penambahan Mohon apakah PLN mobil Sekarang k sering error susah gunakan semenjak ad selalu oerubahan mestinya ad perubahan tapi tidak mengurangi app versi lama saat ini yg saya gunakan keterangan tidak mendukung semwntara kasih bintang 1 sebagai kekecewaan nanati tambah bintang lagi,1
Aneh,1
"perangkat anda terdeteksi dlm kondisi tdk di dukung(root,emulator,atau mode pengembang)gunakan perangkat asli dan non modifikasi untuk melanjutkan. pdhl ini hp ga di apa²in.. ok gw nurut,hapus trus sya download lg.. pas di buka ada tulisan itu lg.. sya udah coba di ulang smpe 11x hapus+ download.. hasil sama.. kesimpulannya ini APLIKASI SAMPAH.. uang yg nyangkut di dlmnya sya sumbangin aja buat ini PLN",1
"APLIKASI YANG LUAR BIASA. selalu gagal pas ke tahap selanjutnya, kalo close data pengisian gak kesimpan. HARUS KETIK DARI AWAL. gak usah sok mobile kalo kualitas masih jelwk",1
PLN MOBILE MAKIN RIVET TINGGAL VERIFIKASI DOANG LAMAA,1
aplikasi tdk bisa dibuka,1
kenapa ndak bisa di buka,1
susah daftarnya,1
gk bisa di akses,1
"aplikasi di HP saya kok tiba-tiba tidak bisa dibuka, perangkat tidak didukung padahal OS hape sy sudah 5.sekian dan dibilang hape modifikasi,,, parah,,,,, sy sangat perlu buka PLN Mobile saya karena ada riwayat pembelian yg harus saya cetak atau print tapi aplikasi tiba2 eror",1
mikin kesini mikin ribet dan datanya harus berulang² banyak gangguannya,1
"perangkat anda terdeteksi tidak di dukung kenapa ini apa yang salah, saya menggunakan xiaomi 11t pro mohon segera ditindaklanjuti. karena pembayaran semua pake PLN mobile",1
"Mantan krywn TAD(Tenaga Alih daya) bid.Keamanan(PAM) wilayah OPS PLN UID Jakarta Raya, dikelola PT. USAHA JAYA PRIMA KARYA, Sudah 1 bln sejak pengunduran diri, ada hak yng belum terbayarkan yaitu UPMK (Uang Penghargaan Masa Kerja) yg wajib dibayarkan PT.UJPK DILUAR DARI Jaminan Pensiun atau program dana pensiun sesuai Undang Undang Ketenagakerjaan tentang Cipta Kerja. saya meminta pihak PLN mengawasi dan follow-up agar mitra Kerja PLN UID JAYA yaitu PT.UJPK Segera selesaikan hak saya tsb.",1
"mkin lama makin jelek ni aplikasi PLN ini, mau cek info Ja gk bisa, banyak iklan gk jls",1
"Parah si ini, buat kalian jangan pernah coba² berurusan transaksi diluar pembayaran listrik, jangan coba fitur yg aneh kalo gak mau ulang/saldo lu lenyap, sebab proses pengembalian saldonya bukan maen memerlukan beberapa hari itupun hanya berbentuk saldo pln, kalo di tarik/withdrawal ke rekening membutuhkan proses yg amat panjang dan ribet, ujungnya ya saldo lenyap.",1
tidak ada masalah yg di selesaikan pedaman listrik tidak ada informasi ke pada warga biasanya ada pemberitahuan kalau akan ada pedaman listrik 😠🤬,1
percuma ada pengaduan... g d gubris sama sekali keluhan konsumen...parah,1
kasi bintang 1 aj lh soal y mau hapus akun GX bisa padahal nomor perivikasi y udah di masukin. apk taik. udah lh pocer y gx ada bonus sama sekali,1
"SEKELAS BUMN MASA GA ADA NOTIFIKASI PEMBERITAHUAN TAGIHAN BULANAN, APA EMANG SENGAJA BIAR PELANGGAN PADA TELAT BAYAR BIAR DAPAT UNTUNG DARI DENDA KETERLAMBATAN.",1
"saya kasih bintang satu dulu, soalnya aplikasinya gak bisa di buka, dengan alasan perangkat tidak memadai. aneh .. padahal sebelumnya bisa.",1
"tolol aplikasi malah mempersulit , ubl nyala aja gaboleh emang aplikasi lu doang yang dibuka di hp",1
"listrik padam terus terusan , muara enim sumatera selatan",1
setelah ada pembaruan malah tidak bisa masuk karena perangkat tidak didukung parah padahal perangkat masih bisa terdukung malah tambah parah,1
APLIKASI G BERFUNGSI DENGAN BAIK...SULIT LOGIN,1
kenapa di ponsel saya perangkat tdk di dukung padahal saya sy menggunakan versi ansroid terbaru,1
Aplikasi Yg lelet,1
"Ribet nya pasang baru PLN sekarang, harus ada NIDI dll. Kita orang awam dak ngerti/tahu soal itu, tahu nya daftar bayar dan pasang. Tolong di bantu PLN",1
gagal transaksi saldo tidak kembali,1
tiba tiba aplikasi tidak bisa di pergunakan dgn alasan PERANGKAT TIDAK DI DUKUNG,1
"masa di update malah gak bisa buka PLN mobile,, ? gimana sih? mana ada saldo nya? kacau banget PLN. BISA KERJA GAK SIH.?? kita bayar loh bukan minta, kalau gak sanggup/gak niat kerja mending keluar ganti orang yang beneran pengen kerja.",1
kenapa aplikasi tidak bisa dibuka. perangkat tidak didukung . mendadak eror,1
"aplikasi binatang kenapa tampilannya, kaya aplikasi berbahaya dan aplikasi tidak didukung padahal sy download diplay store",1
tolong kembalikan login menggunakan email. kami para billman kesulitan memenuhi target jika login via WA,1
